Date,Description,Amount
2024-01-01,Uber,-412
2024-01-02,Electric Bill,-4514
2024-01-03,Netflix,-629
2024-01-04,Wifi Bill,-3351
2024-01-05,Uber,-405
2024-01-06,Clinic,-1472
2024-01-07,Metro,-265
2024-01-08,Cafe,-534
2024-01-09,Metro,-441
2024-01-10,Ola,-406
2024-01-11,Swiggy,-115
2024-01-12,Clinic,-767
2024-01-13,Clinic,-1761
2024-01-14,Pharmacy,-1974
2024-01-15,Hospital,-1044
2024-01-16,Wifi Bill,-3628
2024-01-17,Metro,-308
2024-01-18,Flipkart,-2161
2024-01-19,Movie,-152
2024-01-20,Myntra,-2986
2024-01-21,Swiggy,-214
2024-01-22,Ola,-316
2024-01-23,Flipkart,-508
2024-01-24,Swiggy,-425
2024-01-25,Amazon,-2287
2024-01-26,Hospital,-1777
2024-01-27,Uber,-174
2024-01-28,Salary Credit,39679
2024-01-29,Pharmacy,-214
2024-01-30,Ola,-329
2024-01-31,Uber,-73
2024-02-01,Cafe,-600
2024-02-02,Movie,-1087
2024-02-03,Netflix,-1422
2024-02-04,Amazon,-2238
2024-02-05,Uber,-350
2024-02-06,Uber,-380
2024-02-07,Pharmacy,-107
2024-02-08,Amazon,-2486
2024-02-09,Cafe,-279
2024-02-10,Clinic,-1348
2024-02-11,Myntra,-404
2024-02-12,Hospital,-1024
2024-02-13,Uber,-112
2024-02-14,Metro,-82
2024-02-15,Hospital,-155
2024-02-16,Movie,-171
2024-02-17,Uber,-436
2024-02-18,Metro,-342
2024-02-19,Netflix,-485
2024-02-20,Clinic,-212
2024-02-21,Electric Bill,-3339
2024-02-22,Cafe,-150
2024-02-23,Spotify,-416
2024-02-24,Swiggy,-246
2024-02-25,Clinic,-1846
2024-02-26,Mobile Recharge,-1405
2024-02-27,Clinic,-242
2024-02-28,Salary Credit,42187
2024-02-29,Electric Bill,-803
2024-03-01,Myntra,-2823
2024-03-02,Flipkart,-576
2024-03-03,Myntra,-1096
2024-03-04,Electric Bill,-3303
2024-03-05,Hospital,-694
2024-03-06,Flipkart,-2216
2024-03-07,Myntra,-2776
2024-03-08,Flipkart,-2376
